0.63,2.53,3.19,3.85,4.45,5.06,5.72,6.36,7.00,7.51,8.69,9.76,10.89,11.87,12.85,13.90,14.83,15.74,16.67,17.64,19.30,21.08,22.72,24.08,25.30,26.34,27.25,27.95,28.65,29.15
0.67,2.61,3.29,3.97,4.59,5.23,5.91,6.57,7.23,7.76,8.97,10.09,11.24,12.26,13.28,14.35,15.32,16.25,17.20,18.21,19.92,21.75,23.45,24.84,26.13,27.20,28.13,28.55,29.55,30.10
0.71,2.69,3.38,4.08,4.72,5.39,6.09,6.77,7.45,8.00,9.25,10.40,11.59,12.63,13.68,14.79,15.79,16.74,17.72,18.77,20.54,22.42,24.15,25.60,26.95,28.05,29.00,29.75,30.45,31.00
0.75,2.76,3.47,4.19,4.85,5.55,6.27,6.97,7.66,8.23,9.52,10.70,11.93,13.00,14.08,15.21,16.25,17.23,18.23,19.31,21.15,23.07,24.85,26.33,27.73,28.85,29.84,30.62,31.35,31.88
0.79,2.83,3.56,4.30,4.98,5.70,6.44,7.16,7.87,8.45,9.78,11.00,12.26,13.37,14.47,15.63,16.68,17.70,18.73,19.84,21.72,23.70,25.55,27.05,28.47,29.63,30.65,31.45,32.20,32.75
0.83,2.90,3.65,4.41,5.11,5.85,6.61,7.35,8.07,8.67,10.03,11.28,12.58,13.71,14.83,16.03,17.10,18.17,19.21,20.35,22.27,24.30,26.20,27.76,29.20,30.40,31.45,32.25,33.05,33.60
0.92,3.04,3.82,4.60,5.36,6.13,6.92,7.70,8.46,9.10,10.52,11.82,13.18,14.37,15.55,16.81,17.93,19.05,20.14,21.33,23.35,25.47,27.45,29.10,30.60,31.85,32.95,33.80,34.65,35.20
1.00,3.16,3.98,4.79,5.61,6.40,7.23,8.05,8.85,9.51,10.99,12.35,13.78,15.01,16.25,17.58,18.74,19.90,21.05,22.30,24.40,26.62,28.70,30.40,32.00,33.30,34.45,35.35,36.20,36.80
1.08,3.28,4.14,4.98,5.85,6.67,7.52,8.39,9.22,9.89,11.44,12.85,14.35,15.62,16.93,18.30,19.53,20.72,21.92,23.22,25.40,27.75,29.87,31.65,33.32,34.65,35.85,36.80,37.68,38.30
1.17,3.39,4.29,5.16,6.06,6.91,7.81,8.70,9.56,10.26,11.88,13.38,14.88,16.21,17.58,18.99,20.25,21.50,22.75,24.10,26.35,28.80,31.00,32.85,34.60,35.98,37.20,38.18,39.10,39.75
1.25,3.50,4.43,5.34,6.27,7.15,8.08,9.00,9.89,10.62,12.30,13.80,15.40,16.78,18.19,19.64,20.95,22.24,23.54,24.93,27.30,29.80,32.10,34.00,35.80,37.25,38.50,39.50,40.45,41.15
1.33,3.61,4.56,5.51,6.48,7.39,8.34,9.29,10.22,10.98,12.69,14.27,15.90,17.33,18.78,20.29,21.65,22.98,24.30,25.75,28.20,30.75,33.15,35.10,36.95,38.45,39.80,40.80,41.80,42.50
1.42,3.72,4.69,5.68,6.68,7.62,8.60,9.58,10.54,11.32,13.08,14.70,16.39,17.86,19.34,20.92,22.32,23.69,25.05,26.55,29.03,31.70,34.15,36.20,38.10,39.60,41.10,42.05,43.10,43.80
1.50,3.82,4.82,5.85,6.87,7.84,8.85,9.86,10.84,11.64,13.45,15.12,16.88,18.39,19.89,21.54,22.97,24.36,25.78,27.33,29.85,32.63,35.15,37.25,39.20,40.75,42.30,43.25,44.35,45.10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
